"title";"facebook";"twitter";"instagram"
"Avatar";46128750;44200;42900
"United Passions";2117;42;0
"The Dark Knight";18998197;384000;59400
"Rudderless";28196;2139;0
"Justin Bieber: Never Say Never";3297537;105000000;102000000
"Black November";3312;254;0
"High School Musical 3: Senior Year";21785;0;1155
"Twilight";44123276;1290000;948000
"The Legend of Tarzan";586346;24900;29200
"Crank: High Voltage";36;0;115
"Circle";83532;9031;7816
"Agora";95330;0;45
"After Life";1103;66;0
"New York";19311;0;1097
"Spotlight";164231;11000;4590
"The Last Godfather";1083;0;0
"Windsor Drive";1083;157;0
"Area 51";0;0;0
"Saint John of Las Vegas";422;540;0
"Cheap Thrills";6642;0;0
"Samsara";1253;6202;0
"Khailadi";122;20000;0
"Max Payne";18129;778;27034
"The Amazing Spider-Man";20280097;828000;1200000
"2012";17433711;0;0
