Rank	Episode	Episode name	Elo score
1	S2E22	Casino Night	1473.7
2	S4E9	Dinner Party	1423.3
3	S3E9	The Convict	1404.3
4	S4E1	Fun Run	1397.4
5	S2E12	The Injury	1389.0
6	S5E13	Stress Relief	1374.5
7	S3E22	Beach Games	1336.7
8	S3E1	Gay Witch Hunt	1314.0
9	S2E11	Booze Cruise	1304.2
10	S7E16	Threat Level Midnight	1304.2
11	S2E7	The Client	1292.3
12	S4E8	The Deposition	1291.1
13	S7E21	Goodbye, Michael	1285.3
14	S3E23	The Job	1284.5
15	S3E19	Safety Training	1283.4
16	S4E14	Goodbye, Toby	1282.8
17	S2E1	The Dundies	1266.5
18	S2E20	Drug Testing	1254.8
19	S9E23	Finale	1254.8
20	S2E5	Halloween	1252.2
21	S2E21	Conflict Resolution	1247.9
22	S3E4	Grief Counseling	1247.6
23	S5E23	Broke	1247.1
24	S5E21	Michael Scott Paper Company	1238.4
25	S2E19	Michael's Birthday	1230.0
26	S3E11	Back from Vacation	1229.2
27	S5E19	Two Weeks	1227.4
28	S2E4	The Fire	1225.6
29	S2E10	Christmas Party	1213.0
30	S3E13	The Return	1204.0
31	S2E3	Office Olympics	1203.5
32	S3E21	Women's Appreciation	1202.3
33	S2E2	Sexual Harassment	1198.4
34	S3E18	The Negotiation	1195.5
35	S1E2	Diversity Day	1195.3
36	S4E5	Local Ad	1192.5
37	S3E17	Cocktails	1191.0
38	S1E5	Basketball	1189.2
39	S4E12	Did I Stutter?	1189.0
40	S3E12	Traveling Salesmen	1185.4
41	S3E20	Product Recall	1185.1
42	S3E16	Business School	1180.9
43	S4E6	Branch Wars	1178.1
44	S4E4	Money	1175.5
45	S3E3	The Coup	1170.7
46	S6E5	Niagara Part 2	1169.0
47	S5E1	Weight Loss	1161.5
48	S2E13	The Secret	1160.4
49	S6E4	Niagara	1156.7
50	S2E18	Take Your Daughter to Work Day	1151.6
51	S2E17	Dwight's Speech	1150.3
52	S2E9	E-Mail Surveillance	1147.5
53	S3E8	The Merger	1141.9
54	S5E9	The Surplus	1139.8
55	S4E3	Launch Party	1139.6
56	S5E26	Company Picnic	1128.0
57	S3E15	Phyllis' Wedding	1125.3
58	S7E18	Garage Sale	1123.8
59	S3E7	Branch Closing	1122.3
60	S3E14	Ben Franklin	1112.5
61	S4E2	Dunder Mifflin Infinity	1109.8
62	S5E15	Lecture Circuit: Part 2	1107.8
63	S2E6	The Fight	1105.0
64	S3E10	A Benihana Christmas	1104.5
65	S5E11	The Duel	1103.7
66	S5E8	Frame Toby	1100.6
67	S3E2	The Convention	1098.0
68	S3E5	Initiation	1094.7
69	S4E10	Chair Model	1093.3
70	S5E17	Golden Ticket	1092.5
71	S5E22	Heavy Competition	1092.2
72	S6E7	The Lover	1091.3
73	S5E10	Moroccan Christmas	1090.6
74	S7E20	Michael's Last Dundies	1087.9
75	S3E6	Diwali	1079.0
76	S7E14	The Search	1074.7
77	S5E18	New Boss	1068.3
78	S1E6	Hot Girl	1064.2
79	S2E15	Boys and Girls	1062.1
80	S1E4	The Alliance	1060.4
81	S5E2	Business Ethics	1055.3
82	S5E5	Employee Transfer	1054.3
83	S1E3	Health Care	1053.4
84	S6E10	Murder	1052.5
85	S2E8	Performance Review	1048.6
86	S5E6	Customer Survey	1043.9
87	S5E7	Business Trip	1043.6
88	S2E14	The Carpet	1043.1
89	S6E12	Scott's Tots	1041.8
90	S5E12	Prince Family Paper	1036.9
91	S4E13	Job Fair	1035.4
92	S4E11	Night Out	1034.1
93	S5E4	Crime Aid	1033.9
94	S5E16	Blood Drive	1033.0
95	S5E25	Cafe Disco	1022.7
96	S6E1	Gossip	1021.9
97	S4E7	Survivor Man	1017.9
98	S2E16	Valentine's Day	1016.3
99	S5E20	Dream Team	1013.7
100	S5E14	Lecture Circuit: Part 1	1010.6
101	S6E2	The Meeting	1009.2
102	S6E13	Secret Santa	1002.8
103	S7E10	China	977.2
104	S7E15	PDA	975.3
