Text;Top5%;Emoji_1;Emoji_2;Emoji_3;Emoji_4;Emoji_5;Pct_1;Pct_2;Pct_3;Pct_4;Pct_5
<pre>;0.41979033499956131;16;24;47;13;46;0.194684;0.0966326;0.0466639;0.0409548;0.0408551
"DJANGO UNCHAINED
</b>


                                         Written by

                                     Quentin Tarantino";0.48881819099187851;24;48;11;42;47;0.147511;0.126445;0.0862001;0.0685453;0.0601175
"I
</b>";0.51741892099380493;24;48;16;47;11;0.129329;0.120297;0.111371;0.0900935;0.0663281
"EXT - COUNTRYSIDE - BROILING HOT DAY
</b>
          As the film's OPENING CREDIT SEQUENCE plays, complete with its own
          SPAGHETTI WESTERN THEME SONG, we see SEVEN shirtless and shoeless
          BLACK MALE SLAVES connected together with LEG IRONS, being run,
          by TWO: WHITE MALE HILLBILLIES on HORSEBACK.

          The location is somewhere in Texas. The Black Men (ROY, BIG SID,
          BENJAMIN, DJANGO, PUDGY RALPH, FRANKLYN, and BLUEBERRY) are slaves just
          recently purchased at The Greenville Slave Auction in Greenville
          Mississippi. The White Hillbillies are two Slave Traders called,
          The SPECK BROTHERS (ACE and DICKY).

          One of the seven slaves is our hero DJANGO... . he's fourth in the leg
          iron line. We may or may not notice a tiny small ""r"" burned into his
          cheek (""r"" for runaway), but we can't help but notice his back which
          has been SLASHED TO RIBBONS by Bull Whip Beatings.

          As the Operatic Opening Theme Song plays, we see a MONTAGE of misery
          and pain, as Django and the Other Men are walked through blistering
          sun, pounding rain, and moved along by the end of a whip. Bare feet
          step on hard rock, and slosh through mud puddles. Leg Irons take the
          skin off ankles.

          AS The CREDITS play, DJANGO has a SPAGHETTI WESTERN FLASHBACK.
          Now Spaghetti Western Flashbacks are never pretty, it's usually the
          time in the film when the lead character thinks back to the most
          painful memory inflicted on him or his loved ones from evil characters
          from his past. In this instance we see Django in a SLAVE PEN at the
          Greenville Auction.";0.68956176191568375;24;47;16;11;48;0.355484;0.0933934;0.088422;0.0842695;0.0679929
"DJANGO
</b>          Amongst many other shoulders and heads, sees through the bars of the
          cell door, his wife BROOMHILDA being led to the auction block.

          He fights his way to the door, and far off and obscure in the distance,
          he can see Broomhilda up on the auction block, and in the distance he
          hears the Auctioneer yell; ""Sold."" Then she's taken away to whereabouts
          unknown, never to be seen again.

          As the sun continues to beat down on Django's head, he remembers;

          DJANGO in the SLAVE PEN
          with what seems like a one hundred and fifty Slaves in a cell designed
          for forty.

          WHITE MEN yank him out. of the cell, shirtless, shoeless, and lead him
          down a hallway, into a giant round pen, an audience viewing area
          circles the round pen floor on three different stories of the
          structure.

          The ground floor is covered by the BIG MONEY BUYERS who stand in front
          of the auction block.";0.3211773969233036;24;42;48;11;47;0.0901124;0.0864978;0.0545577;0.0450888;0.0449207
"2
</b>";0.75784651190042496;16;48;24;47;51;0.53752;0.0726411;0.0674358;0.0581477;0.0221022
"DJANGO
</b>          is moved into a line of SLAVES (The Black Men), and their MASTERS
          (their White Owners), and their SELLERS (the White Man actually doing
          the sales pitch on the auction block), as they wait for their turn on
          the block.
          A SLAVE (ROBBIE), stand on the auction block in view of the room full
          of Buyers, The SELLER sells, and the OWNERS stand off to the side.";0.23543688841164112;24;16;42;41;32;0.0719298;0.0478536;0.0440995;0.0404323;0.0311217
"DJANGO
</b>          takes in the environment around him. Django has never cared for white
          folks, but these white folks are in particularly ugly.

          It's DJANGO's turn ON THE AUCTION BLOCK
          as the THEME SONG wails its tragic crescendo, Django is brought up on
          the auction block. He.looks down at all the WHITE PEOPLE who want to
          buy Niggers, who look up to him.
          His heart fills with poison.";0.23943862691521645;22;55;32;42;39;0.0633205;0.0552451;0.0441797;0.0388906;0.0378027
"BACK TO DJANGO
</b>          walking in Leg Irons with his six Other Companions, walking across the
          blistering Texas panhandle... .remembering.. .thinking. - .hating.";0.27132739126682281;42;24;16;30;33;0.0799657;0.0679324;0.0442485;0.041984;0.0371968
"THE OPENING CREDIT SEQUENCE
</b>          end.";0.38414869457483292;48;16;24;46;11;0.131661;0.106864;0.0634855;0.046822;0.0353162
