time;swearing;blood;guns;drugs;physical_violence;pop_culture_reference;uninterrupted_dialogue;racial_epithet_or_stereotype;time_travel
1;;;1;;;;;;
2;;;1;1;;1;;1;
3;1;;1;;;1;;;
4;;;;1;;;;1;
5;1;;;;;;;1;
6;1;;;;;;;1;
7;1;;;;;;;;
8;;;;;;;;;
9;;;;;;;;;
10;;;;;;;;;
11;1;;;;;;;1;
12;1;;;;;1;;1;
13;1;;1;;;;1;1;
14;;;1;;;;;1;
15;;1;1;;;1;;;
16;;1;;;;;1;1;
17;1;;;;;;;1;1
18;;;;;;;;;
19;;;;;;;;;
20;1;;;1;;;1;;
21;1;;;;;;;;
22;;;;;;;;;
23;1;;;;;;;;
24;;;;;;;;;
25;1;;;;;;;;
26;;;;;;;;;
27;;;;;;;;;
28;;;1;;;;;;
29;1;;;;;1;;;
30;;;;;;;;;
31;;;1;;;;;;
32;;;;;;;;;
33;;;1;;1;;;;
34;;;1;;;;;1;
35;1;;1;;;;;;
36;;;1;;;;;;
37;;;;;;1;;;
38;;;;;;;;;
39;;;;;;;;;
40;;;;;;;;;
41;;;;;;;;;
42;1;;;1;;1;;;
43;;;;1;;;;;
44;;;;;;1;;;
45;;;;;;1;;;
46;1;;;;;;;1;
47;1;;;;;;;;
48;1;;;1;;;;;
49;;;;;;;;;
50;;;;;;;;;
51;;;;;;;;;
52;;;;;;1;;;
53;;;;;;1;;;
54;;;;;;;;;
55;;;1;;;;;;1
56;;;;;;;;;
57;;;;;;;;;
58;;;;;;;;;1
59;;;;;;;;;
60;;;;;;;;;1
61;1;;1;;;;;;
62;;;;;;;;;
63;1;;;;;;;;
64;;;;;;;;;
65;;;;;;;;;
66;;;;;;;;;
67;;;;;;;;;
68;1;;;;;;;;1
69;;;;;;;;;
70;;;;;;;;;1
71;1;;;;;;;;
72;;;;;;;;;
73;;;;;;;;;
74;;;;;;;;;
75;;;;;;;;;
76;;;;;;;;;
77;1;;;;1;;;;1
78;;;;;;;;;
79;1;;;;;;;;
80;1;1;1;;;;;;1
81;;;;;;;;;
82;;;;;;;;;
83;1;;;;;;;;
84;1;;1;;;;;;
85;1;;;;;;;1;1
86;1;1;1;;;;;;
87;;;;;;;;;
88;;;;;;;;;1
89;1;;;;;;;1;
90;;;;;;;;;
91;;;;;;;;;
92;;;;;;;;;
93;1;;1;;;;;1;
94;1;;;;;;;1;
95;;;1;;;;;1;
96;;1;1;;;;;;
97;;1;1;;;;;;1
98;;;;;;;;;
99;;;;;;;;;
100;;;;;;;;;
