Text;Top5%;Emoji_1;Emoji_2;Emoji_3;Emoji_4;Emoji_5;Pct_1;Pct_2;Pct_3;Pct_4;Pct_5
<pre>;0.41979033499956131;16;24;47;13;46;0.194684;0.0966326;0.0466639;0.0409548;0.0408551
</b>                          Jackie Brown;0.60283204168081284;24;16;48;47;63;0.240133;0.11987;0.0906683;0.0847687;0.0673918
</b>                 Screenplay by Quentin Tarantino;0.61281195282936096;48;24;63;11;47;0.212238;0.158556;0.092795;0.0849222;0.0643007
</b>;0.6023625023663044;16;24;47;48;63;0.359805;0.0915905;0.070295;0.042295;0.0383767
</b>;0.6023625023663044;16;24;47;48;63;0.359805;0.0915905;0.070295;0.042295;0.0383767
</b>;0.6023625023663044;16;24;47;48;63;0.359805;0.0915905;0.070295;0.042295;0.0383767
"OPENING CREDITS
</b>";0.44099342077970505;16;48;24;11;47;0.193497;0.109946;0.0538733;0.0423065;0.0413711
</b>;0.6023625023663044;16;24;47;48;63;0.359805;0.0915905;0.070295;0.042295;0.0383767
</b>;0.6023625023663044;16;24;47;48;63;0.359805;0.0915905;0.070295;0.042295;0.0383767
"INT. LOS ANGELES INTERNATIONAL AIRPORT - DAY
</b>";0.57135272771120071;16;24;48;47;11;0.201246;0.161922;0.0875712;0.07669;0.0439239
</b>   We hear the rhythm of funky seventies SOUL MUSIC.;0.74820263683795929;48;11;63;24;47;0.280763;0.265296;0.0877587;0.0778935;0.0364918
</b>   Then SHE steps into FRAME.;0.33951576799154282;16;24;48;63;47;0.114123;0.0870623;0.0507851;0.0468809;0.0406643
"</b>   She is JACKIE BROWN, a stewardess dressed in her CABO AIR
   uniform. (A little shuttle airline that flies from Los
   Angeles to Cabo San Lucas. Approximate flight time: forty
   five minutes)";0.32694332674145699;24;47;16;63;8;0.105886;0.0709695;0.0630861;0.0501387;0.0368632
"</b>   Jackie stands still as a people-mover slowly inches her
   through the airport. The CREDITS APEAR and DISAPPEAR in
   front of her.";0.3265293650329113;24;16;63;47;46;0.115221;0.0578848;0.0553242;0.0543478;0.0437514
"</b>   Jackie Brown is a very attractive black woman in her mid
   forties, though she looks like she's in her mid-thirties.";0.56599754095077515;24;16;47;63;8;0.280892;0.108624;0.100707;0.0472186;0.0285556
"</b>   The people-mover reaches the end of the line, she steps
   off.";0.31222181767225266;24;16;30;33;63;0.107747;0.0720267;0.0589545;0.0368268;0.0366668
"</b>   She breezes through Customs and we follow her with a
   STEDICAM as she strides through the airport... She gets
   to her gate disappears inside the plane for a moment
   comes back out sans flight bag picks up the microphone.";0.32374486699700356;24;47;34;46;11;0.14228;0.0633357;0.046555;0.0361817;0.0353926
</b>;0.6023625023663044;16;24;47;48;63;0.359805;0.0915905;0.070295;0.042295;0.0383767
"JACKIE
</b>                   (into mike)
             Flight 710 Cabo San Lucas, now
             boarding Gate 12, first class only.";0.28261811658740044;16;24;31;30;42;0.0842649;0.0624515;0.0604154;0.0404153;0.035071
"</b>   With a smile on her face, she collects passengers'
   boarding passes as they board the plane.";0.49123681709170341;24;16;47;11;63;0.223266;0.0863573;0.0633002;0.0628695;0.0554436
</b>;0.6023625023663044;16;24;47;48;63;0.359805;0.0915905;0.070295;0.042295;0.0383767
"FADE TO BLACK
</b>";0.64218011498451233;48;11;16;31;51;0.391469;0.112282;0.0505842;0.047803;0.0400423
</b>;0.6023625023663044;16;24;47;48;63;0.359805;0.0915905;0.070295;0.042295;0.0383767
</b>;0.6023625023663044;16;24;47;48;63;0.359805;0.0915905;0.070295;0.042295;0.0383767
"TITLE CARD
</b>";0.45829303190112114;48;16;24;11;47;0.159328;0.158828;0.0520882;0.0477042;0.040345
</b>;0.6023625023663044;16;24;47;48;63;0.359805;0.0915905;0.070295;0.042295;0.0383767
"""ORDELL ROBBIE""
</b>";0.51150210946798325;48;16;11;24;47;0.194011;0.160632;0.0680468;0.0573807;0.0314318
</b>;0.6023625023663044;16;24;47;48;63;0.359805;0.0915905;0.070295;0.042295;0.0383767
"FADE UP ON:
</b>";0.6069018729031086;48;11;16;58;24;0.365567;0.091712;0.053064;0.0514176;0.0451416
</b>;0.6023625023663044;16;24;47;48;63;0.359805;0.0915905;0.070295;0.042295;0.0383767
</b>;0.6023625023663044;16;24;47;48;63;0.359805;0.0915905;0.070295;0.042295;0.0383767
"EXT. FIRING RANGE - DAY
</b>";0.80532694235444069;24;16;47;48;42;0.3669;0.191729;0.157317;0.0457933;0.0435878
</b>;0.6023625023663044;16;24;47;48;63;0.359805;0.0915905;0.070295;0.042295;0.0383767
"VIDEO
</b>";0.55012574419379234;48;16;24;11;47;0.194567;0.186589;0.0676461;0.050869;0.0504544
"</b>   A chorus line of six beautiful bikini-clad women, all
   holding different automatic weapons, BLASTING away.";0.63208113610744476;24;11;48;47;42;0.255852;0.120474;0.105158;0.0825508;0.0680466
</b>   The cheap VIDEO TITLES to:;0.44737108051776886;63;24;16;47;33;0.123806;0.119271;0.119145;0.0502581;0.0348918
</b>;0.6023625023663044;16;24;47;48;63;0.359805;0.0915905;0.070295;0.042295;0.0383767
"""CHICKS WHO LOVE GUNS""
</b>";0.70653747767210007;42;48;11;24;57;0.419551;0.142311;0.0833653;0.032341;0.0289687
