time;swearing;blood;guns;drugs;physical_violence;pop_culture_reference;uninterrupted_dialogue;racial_epithet_or_stereotype;time_travel
1;1;;;;;;;;
2;;;;;;;1;;
3;1;;;;;;;1;
4;1;;;;;;1;;
5;;;;;;;;;
6;1;;1;;;1;;;1
7;1;;1;;;1;;;
8;;;;;;1;;;
9;1;;;;;;;1;
10;1;;;;;;;;
11;1;;;;;;;;
12;;;;;;;;;
13;;;;;;1;;;
14;;;;;;1;;;
15;1;1;1;;;;;;
16;1;1;1;;;;;;
17;1;1;1;;;;1;;1
18;;;;;;;;;
19;;;;;;;;;
20;;;;;;;;;
21;;;;1;;;;1;
22;1;;;1;;1;;;
23;;;;;;;;;
24;;;;1;;;;;
25;;;;;;;;;
26;;;;;;1;;;
27;;;;;;;1;;
28;;;;;;;;;
29;1;;;1;;1;;;
30;;;;;;1;;;
31;;;;;;;;;
32;;;;;;1;;;
33;;;;;;;;;
34;;;;1;;;;;
35;;1;;;;;;;
36;;;;1;;;;;
37;1;;;;;;;;
38;1;;;;;;;;
39;;;;;;;;;
40;1;;;;;;;;
41;;;;;;;;;
42;;;;;;;;;
43;;;;;;;;;
44;;;;;;;;;1
45;;;;;;;1;;
46;;;;;;;1;1;1
47;;;;;;;;;
48;;1;;;;;;1;
49;;;;;;;;;
50;;;;;;;;;
51;;;;;;;;;
52;;;;;;;;;
53;;;;;;;;;
54;;;;;;;;;
55;;;;;;;;;
56;;;;;;;;;
57;;;;;;1;;;
58;;;;;;;;;
59;1;;;;;;;;
60;;;;;1;;;;
61;;;;;;;;;
62;;;;;;;;;
63;;;1;;;;;;
64;;1;1;;1;;;;
65;;1;1;;;;;;
66;;;1;;1;;;;
67;;1;1;;;;;;
68;;;;;;;;;
69;;;;;1;;;;
70;;1;1;;1;;;;
71;1;1;1;;;;;1;
72;;;;;;;;;
73;1;1;;;;;;;
74;;;1;;;;;;1
75;1;1;1;;;;;;
76;1;;;;;1;;;
77;1;1;1;;;;;;
78;1;1;;;;;;;
79;1;1;;;;1;;;
80;1;;;;;;;1;
81;1;;;;;;;1;
82;;;;;;;;;
83;;1;;;;;;;
84;;1;;;;;;;
85;;;;;;;1;;
86;1;1;;;;1;;;
87;;1;;;;1;;1;
88;;1;;;;;;;
89;1;;;;;;;;
90;;;;;;1;;;
91;;;;;;;;1;
92;1;;;;;1;;;
93;1;;;;;1;;;
94;1;;1;;;;;1;
95;;;1;;;;;;
96;1;;1;;;;;;
97;1;;1;;;;;;
98;1;;1;;;1;1;;
99;1;;1;;;1;;;
100;1;;1;;;1;1;;
