Text;Top5%;Emoji_1;Emoji_2;Emoji_3;Emoji_4;Emoji_5;Pct_1;Pct_2;Pct_3;Pct_4;Pct_5
<pre>;0.41979033499956131;16;24;47;13;46;0.194684;0.0966326;0.0466639;0.0409548;0.0408551
"""PULP FICTION""
</b>
                                            By

                             Quentin Tarantino &amp; Roger Avary";0.37662201002240181;11;24;48;42;33;0.101087;0.0912496;0.0836445;0.0506333;0.0500075
"</b>
               PULP [pulp] n.

               1. A soft, moist, shapeless mass or matter.

               2. A magazine or book containing lurid subject matter and 
               being characteristically printed on rough, unfinished paper.

               American Heritage Dictionary: New College Edition";0.67325690574944019;24;47;63;30;16;0.417956;0.154246;0.0392585;0.0316798;0.0301167
"INT. COFFEE SHOP – MORNING
</b>
               A normal Denny's, Spires-like coffee shop in Los Angeles. 
               It's about 9:00 in the morning. While the place isn't jammed, 
               there's a healthy number of people drinking coffee, munching 
               on bacon and eating eggs.

               Two of these people are a YOUNG MAN and a YOUNG WOMAN. The 
               Young Man has a slight working-class English accent and, 
               like his fellow countryman, smokes cigarettes like they're 
               going out of style.

               It is impossible to tell where the Young Woman is from or 
               how old she is; everything she does contradicts something 
               she did. The boy and girl sit in a booth. Their dialogue is 
               to be said in a rapid pace ""HIS GIRL FRIDAY"" fashion.";0.31570840999484062;24;16;11;47;63;0.115187;0.0715241;0.0458517;0.0428302;0.0403152
"YOUNG MAN
</b>                         No, forget it, it's too risky. I'm 
                         through doin' that shit.";0.41730104386806488;48;11;13;31;56;0.166643;0.101585;0.0608063;0.0467447;0.0415212
"YOUNG WOMAN
</b>                         You always say that, the same thing 
                         every time: never again, I'm through, 
                         too dangerous.";0.38684248179197311;48;11;16;24;30;0.125406;0.0767055;0.0751494;0.0671555;0.0424256
"YOUNG MAN
</b>                         I know that's what I always say. I'm 
                         always right too, but –";0.43705150485038757;24;16;47;48;30;0.158324;0.0887574;0.0785507;0.0709826;0.0404367
"YOUNG WOMAN
</b>                         – but you forget about it in a day 
                         or two -";0.39066532254219055;48;11;24;47;63;0.113033;0.105048;0.0785827;0.0470733;0.0469287
"YOUNG MAN
</b>                         – yeah, well, the days of me 
                         forgittin' are over, and the days of 
                         me rememberin' have just begun.";0.41994411870837212;11;48;24;16;31;0.141732;0.128628;0.0803339;0.0365322;0.0327189
"YOUNG WOMAN
</b>                         When you go on like this, you know 
                         what you sound like?";0.35135834291577339;48;11;16;42;41;0.115525;0.0849808;0.0809778;0.0355306;0.0343445
"YOUNG MAN
</b>                         I sound like a sensible fucking man, 
                         is what I sound like.";0.23164933547377586;39;48;42;52;37;0.0596056;0.051511;0.0418248;0.0415291;0.0371789
"YOUNG WOMAN
</b>                         You sound like a duck.
                              (imitates a duck)
                         Quack, quack, quack, quack, quack, 
                         quack, quack...";0.34306216984987259;24;16;47;51;22;0.126997;0.0868873;0.0523406;0.0406986;0.0361387
"YOUNG MAN
</b>                         Well take heart, 'cause you're never 
                         gonna hafta hear it again. Because 
                         since I'm never gonna do it again, 
                         you're never gonna hafta hear me 
                         quack about how I'm never gonna do 
                         it again.";0.37549388408660889;48;11;24;16;46;0.103995;0.0880623;0.0616649;0.0611758;0.0605955
"YOUNG WOMAN
</b>                         After tonight.

               The boy and girl laugh, their laughter putting a pause in 
               there, back and forth.";0.31552150472998619;24;11;16;48;51;0.0904847;0.0687796;0.0608093;0.0584045;0.0370434
"YOUNG MAN
</b>                              (with a smile)
                         Correct. I got all tonight to quack.

               A WAITRESS comes by with a pot of coffee.";0.44394833594560623;11;48;24;16;31;0.119347;0.102508;0.0903728;0.0895276;0.0421935
