time;swearing;blood;guns;drugs;physical_violence;pop_culture_reference;uninterrupted_dialogue;racial_epithet_or_stereotype;time_travel
1;1;;;;;1;;;
2;1;;;;;1;;;
3;1;;;;;;;1;
4;1;;;;;;;;
5;1;;;;;1;;1;
6;;;;;;1;;;
7;;;;;;1;;;
8;;;;;;;;;
9;1;;;;;;;1;
10;;;;;;;;;
11;1;;;;;;1;;
12;;;;;;;;;
13;1;1;1;;;;;;1
14;1;1;;;;;;;
15;;1;;;;;;;
16;1;1;;;;;;;
17;1;1;;;;;;;
18;1;;;;;;1;;
19;1;;;;;;1;;
20;;;;;;;;;
21;;;;;;;;;1
22;1;;1;;;;;;1
23;1;;;;;;1;;
24;;;;;;;;;
25;1;;;;;;;;
26;1;;;;;;1;;
27;1;1;;;;;;;
28;;;;;;;;;
29;;;;;;;;;
30;1;;;;;;1;;
31;1;;1;;1;;;;
32;1;;1;;;;1;;
33;;;;;;;;;
34;1;1;;;;;;;
35;1;;1;;;;;;
36;1;;;;;;;1;
37;1;;;;;1;;;
38;;;;;;;;;
39;;;;;;;;;1
40;1;;;;;;;1;
41;;;;;;;;;
42;1;;;;;;;;
43;;;;;;;;;
44;1;;;;;;;1;
45;1;;;;;;;;
46;;;;;;;;;
47;;;;;;;1;;
48;1;;;;;;1;;1
49;1;1;;;;1;;;
50;1;;;;;;;;
51;1;1;;;;;;;
52;1;;;;;1;;;
53;1;;;;;;;;
54;1;;;;;;;;
55;;;;;;1;;;
56;;;;;1;1;;;
57;1;1;1;;1;;;;
58;1;;;;;;;;1
59;;;;;;;;;
60;;;;;;;;;
61;1;;;;;1;;;1
62;;;;;;1;;;
63;;;;;;;1;;
64;1;;;;;;1;;
65;1;;;;;1;1;;
66;1;;;;;;1;;
67;;;;;;;;;1
68;1;;;;;;;;1
69;1;;;;;;;;
70;;;;;;;;;1
71;;;;;;;;;
72;;;;;;;1;;
73;;;;;;;;;
74;1;;;;;;;;
75;;;;;;;;;
76;1;;;;;;;1;
77;;;;;;1;;;
78;1;;;;;1;;1;
79;1;;;;;;;1;
80;1;;;;;;;1;
81;;;;;;;1;;
82;;;;;;;;;
83;1;;;;;;;;
84;1;;;;;;;;
85;1;;;;;;;;
86;;;;;;;;;
87;1;;;;;1;1;;
88;;1;1;;;;;;
89;;1;1;;;;;;
90;;;;;;;;;1
91;1;;;;;;;;
92;1;1;;;;;;;
93;1;1;1;;;;;;
94;1;1;;;;;;;
95;;;;;;;1;;
96;1;;;;;;;;
97;1;;1;;;1;;;
98;;1;1;;;;;;
99;;1;1;;;;;;
100;;1;1;;;;;;
