Text;Top5%;Emoji_1;Emoji_2;Emoji_3;Emoji_4;Emoji_5;Pct_1;Pct_2;Pct_3;Pct_4;Pct_5
"<pre>




                            Quentin Tarantino's";0.47564247623085976;24;47;16;63;42;0.178033;0.0898009;0.0870824;0.0732474;0.0474784
"R E S E R V O I R   D O G S
</b>







       October 22, 1990";0.5652860701084137;24;47;16;48;11;0.251846;0.127449;0.0741923;0.0572167;0.0545827
"-----------------
</b>

       This movie is dedicated to these following sources of

       inspiration:";0.41195829212665558;24;47;63;16;21;0.194814;0.081717;0.0542476;0.0459822;0.0351977
"TIMOTHY CAREY
</b>";0.76621987670660019;48;16;24;11;47;0.392638;0.148441;0.0896888;0.0721226;0.0633297
"ROGER CORMAN
</b>
                                ANDRE DeTOTH";0.7105962261557579;24;48;16;47;11;0.227843;0.203564;0.108322;0.0900517;0.0808153
"CHOW YUEN FAT
</b>";0.59745601192116737;16;48;24;47;11;0.256664;0.147517;0.0921514;0.0603768;0.0407475
"JEAN LUC GODDARD
</b>";0.7020631805062294;16;48;24;47;11;0.222863;0.21605;0.127906;0.0763499;0.0588939
"JEAN PIERRE MELVILLE
</b>";0.71773213148117065;48;16;24;47;11;0.250954;0.210447;0.116902;0.0736937;0.065736
"LAWRENCE TIERNEY
</b>";0.69750964641571045;48;16;24;11;47;0.321289;0.130805;0.101054;0.0775755;0.0667859
"LIONEL WHITE
</b>";0.74749473854899406;48;16;24;11;47;0.414954;0.0974772;0.0879728;0.0866666;0.0604243
"---------------------
</b>";0.64056004583835602;48;24;16;47;11;0.227654;0.135816;0.121347;0.0833227;0.0724208
"RESERVOIR DOGS
</b>";0.62838942185044289;48;16;11;24;47;0.307241;0.102309;0.0907729;0.0765663;0.0515005
"1      INT. UNCLE BOB'S PANCAKE HOUSE - MORNING
</b>
       Eight men dressed in BLACK SUITS, sit around a table at a
       breakfast cafe.  They are MR. WHITE, MR. PINK, MR. BLUE,";0.4907928965985775;24;11;16;47;48;0.211066;0.102642;0.0617338;0.0591738;0.0561765
"MR. BLONDE, MR. ORANGE, MR. BROWN, NICE GUY EDDIE CABOT,
</b>       and the big boss, JOE CABOT.  Most are finished eating and
       are enjoying coffee and conversation.  Joe flips through a
       small address book.  Mr. Pink is telling a long and
       involved story about Madonna.";0.42679139599204063;24;16;47;33;6;0.154605;0.0924667;0.0714481;0.0616701;0.0466019
"MR. PINK 
</b>                 ""Like a Virgin"" is all about a
                 girl who digs a guy with a big
                 dick.  The whole song is a
                 metaphor for big dicks.";0.18606387823820114;39;11;48;33;30;0.0469257;0.0406317;0.0342982;0.0328748;0.0313335
"MR. BLUE
</b>                 No it's not.  It's about a girl
                 who is very vulnerable and she's
                 been fucked over a few times.
                 Then she meets some guy who's
                 really sensitive--";0.22448396682739258;55;32;16;11;46;0.0504575;0.0462644;0.0457909;0.0413283;0.0406427
"MR. PINK
</b>                 --Whoa...whoa...time out Greenbay.
                 Tell that bullshit to the
                 tourists.";0.46033742651343346;11;48;30;42;31;0.186882;0.168961;0.0423856;0.0351826;0.0269267
"JOE
</b>                         (looking through his
                          address book)
                 Toby...who the fuck is Toby?
                 Toby...Toby...think...think...
                 think...";0.29072387889027596;55;32;22;25;24;0.0697482;0.0660259;0.0600632;0.0490427;0.0458439
"MR. PINK
</b>                 It's not about a nice girl who
                 meets a sensitive boy.  Now
                 granted that's what ""True Blue"" is
                 about, no argument about that.";0.29598514176905155;16;24;13;47;30;0.102258;0.0882577;0.0395362;0.0364961;0.0294367
"MR. ORANGE
</b>                 Which one is ""True Blue?""";0.47740352712571621;16;48;24;11;51;0.183864;0.125573;0.0778671;0.059117;0.0309829
"NICE GUY EDDIE
</b>                 You don't remember ""True Blue?""
                 That was a big ass hit for
                 Madonna.  Shit, I don't even
                 follow this Tops In Pops shit, and
                 I've at least heard of ""True
                 Blue.""";0.27222973108291626;40;24;16;33;58;0.0725332;0.0599201;0.051766;0.0511377;0.0368727
"MR. ORANGE
</b>                 Look, asshole, I didn't say I
                 ain't heard of it.  All I asked
                 was how does it go?  Excuse me
                 for not being the world's biggest
                 Madonna fan.";0.32418979704380035;55;32;37;42;19;0.0807211;0.0786653;0.0550023;0.0549885;0.0548126
"MR. BROWN
</b>                 I hate Madonna.";0.33506578207015991;48;39;42;16;24;0.119736;0.0671404;0.0522266;0.0492644;0.0466982
"MR. BLUE
</b>                 I like her early stuff.  You know,
                 ""Lucky Star,"" ""Borderline"" - but
                 once she got into her ""Papa Don't
                 Preach"" phase, I don't know, I
                 tuned out.";0.26248884573578835;24;11;16;48;63;0.0611072;0.0610075;0.0545595;0.0477663;0.0380484
"MR. PINK
</b>                 Hey, fuck all that, I'm
                 making a point here.  You're gonna
                 make me lose my train
                 of thought.";0.4653809629380703;11;48;24;47;42;0.214429;0.0923257;0.0773067;0.0435131;0.0378066
"JOE
</b>                 Oh fuck, Toby's that little china
                 girl.";0.39527889341115952;48;11;24;42;47;0.12822;0.12119;0.0661428;0.0473925;0.0323338
"MR. WHITE
</b>                 What's that?";0.50784215331077576;16;48;24;11;41;0.203802;0.141464;0.0724975;0.0558353;0.0342432
"JOE
</b>                 I found this old address book in a
                 jacket I ain't worn in a coon's
                 age.  Toby what?  What the fuck
                 was her last name?";0.25874994695186615;48;11;12;41;34;0.0657483;0.0609462;0.0515596;0.0452907;0.0352052
"MR. PINK
</b>                 Where was I?";0.42309349402785301;48;16;24;11;47;0.12238;0.107373;0.076643;0.0726449;0.0440528
"MR. ORANGE
</b>                 You said ""True Blue"" was about a
                 nice girl who finds a sensitive
                 fella.  But ""Like a Virgin"" was a
                 metaphor for big dicks.";0.21601315587759018;33;40;41;16;22;0.0675184;0.0410358;0.0398028;0.0343166;0.0333395
"MR. PINK
</b>                 Let me tell ya what ""Like a
                 Virgin""'s about.  It's about some
                 cooze who's a regular fuck
                 machine.
                 I mean all the time, morning, day,
                 night, afternoon, dick, dick,
                 dick, dick, dick,
                 dick, dick, dick, dick, dick,
                 dick.";0.36084089614450932;11;48;54;31;16;0.168506;0.0946455;0.0362261;0.0311634;0.0302999
"MR. BLUE
</b>                 How many dicks was that?";0.40029165893793106;16;48;41;24;22;0.198474;0.0621912;0.0548529;0.0431508;0.041623
"MR. WHITE
</b>                 A lot.";0.63884469866752625;48;11;24;16;47;0.321165;0.132815;0.0824499;0.0567078;0.0457064
"MR. PINK
</b>                 Then one day she meets a John
                 Holmes motherfucker, and it's
                 like, whoa baby.  This mother
                 fucker's like Charles Bronson in
                 ""The Great Escape.""  He's diggin
                 tunnels.  Now she's gettin this
                 serious dick action, she's feelin
                 something she ain't felt since
                 forever.  Pain.";0.55398443713784218;11;48;24;47;63;0.218353;0.168104;0.100449;0.0381424;0.0289362
"JOE
</b>                 Chew?  Toby Chew?  No.";0.302585668861866;56;39;25;38;52;0.0766637;0.0760454;0.0616531;0.0480643;0.0401592
"MR. PINK
</b>                 It hurts.  It hurts her.  It
                 shouldn't hurt.  Her pussy should
                 be Bubble-Yum by now.  But when
                 this cat fucks her, it hurts.  It
                 hurts like the first time.  The
                 pain is reminding a fuck machine
                 what is was like to be a virgin.
                 Hence, ""Like a Virgin.""

       The fellas crack up.";0.27900165691971779;46;34;55;24;39;0.113055;0.0524116;0.0410128;0.0376903;0.0348323
"JOE
</b>                 Wong?";0.49364157021045685;16;24;48;47;11;0.177457;0.156321;0.0665362;0.053878;0.039449
"MR. PINK
</b>                 Fuck you, wrong.  I'm right!  What
                 the fuck do you know about it
                 anyway?  You're still listening to
                 Jerry-fucking-Vale.";0.31553352996706963;55;32;42;37;11;0.084911;0.0758964;0.059455;0.0529486;0.0423225
"JOE
</b>                 Not wrong, dumb ass, Wong!  You
                 know, like the Chinese name?

       Mr. White snatches the address book from Joe's hand.  They
       fight, but they're not really mad at each other.";0.34772081300616264;24;11;48;55;42;0.102986;0.084427;0.0706743;0.0479329;0.0417009
"MR. WHITE
</b>                 Give me this fucking thing.";0.40522636845707893;48;11;42;37;39;0.178415;0.0758731;0.062885;0.0468135;0.0412399
"JOE
</b>                 What the fuck do you think you're
                 doin?  Give me my book back!";0.44997163489460945;55;32;37;42;29;0.138661;0.137121;0.0948742;0.0472438;0.0320716
"MR. WHITE
</b>                 I'm sick of fuckin hearin it Joe,
                 I'll give it back when we leave.";0.4188452735543251;48;11;32;42;55;0.13104;0.129495;0.054094;0.053588;0.050629
