Polish name;Original Name;Web address;Date World;Date Poland;Year World;Year Poland;Boxoffice($);Number of awards
Aladyn;Aladdin;https://www.imdb.com/title/tt0103639/;11.01.1992;11.01.1992;1992;1992;504050219;27
Piêkna i Bestia;Beauty and the Beast;https://www.imdb.com/title/tt0101414/;29.09.1991;03.02.2012;1991;2012;424967620;25
Król lew;The Lion King;https://www.imdb.com/title/tt0110357/;15.06.1994;18.11.1994;1994;1994;987483777;30
Pocahontas;Pocahontas;https://www.imdb.com/title/tt0114148/;15.06.1995;17.11.1995;1995;1995;346079773;11
Alicja w Krainie Czarów;Alice in Wonderland;https://www.imdb.com/title/tt0043274/;26.07.1951;26.07.1951;1951;1951;346079773;2
Mulan;Mulan;https://www.imdb.com/title/tt0120762/;05.06.1998;20.11.1998;1998;1998;304320254;20
Robin Hood;Robin Hood;https://www.imdb.com/title/tt0070608/;08.11.1973;08.11.1973;1973;1973;32056467;1
Pinokio;Pinocchio;https://www.imdb.com/title/tt0032910/;07.02.1940;07.02.1949;1940;1949;84254167;5
101 dalmatyñczyków;One Hundred and One Dalmatians;https://www.imdb.com/title/tt0115433/;25.01.1961;25.01.1961;1961;1961;215880014;6
Kopciuszek;Cinderella;https://www.imdb.com/title/tt0042332/;15.02.1950;15.02.1950;1950;1950;93141149;11
Piotruœ Pan;Peter Pan;https://www.imdb.com/title/tt0046183/;05.02.1953;05.02.1953;1953;1953;87404651;2
Œpi¹ca królewna;Sleeping Beauty;https://www.imdb.com/title/tt0053285/;29.01.1959;18.08.1995;1959;1995;516000000;3
;;;;;;;;
