Book published year,Book published name,Cases name,Time of cases,Year,Places
1887,A Study in Scarlet,A Study in Scarlet,March 1881,1881,London
1890,The Sign of the Four,The Sign of the Four,January 1888,1888,London
1892,The Adventures of Sherlock Holmes,A Scandal in Bohemia,20 March 1888,1888,London
1892,The Adventures of Sherlock Holmes,The Red-Headed League,October 1890,1890,London
1892,The Adventures of Sherlock Holmes,A Case of Identity,1888,1888,London
1892,The Adventures of Sherlock Holmes,The Boscombe Valley Mystery,1889,1889,Herefordshire (near Ross-on-Wye)
1892,The Adventures of Sherlock Holmes,The Five Orange Pips,September 1887,1887,London
1892,The Adventures of Sherlock Holmes,The Man with the Twisted Lip,June 1889,1889,London
1892,The Adventures of Sherlock Holmes,The Adventure of the Blue Carbuncle,December 1889,1889,London
1892,The Adventures of Sherlock Holmes,The Adventure of the Speckled Band,April 1883,1883,"Leatherhead, Surrey"
1892,The Adventures of Sherlock Holmes,The Adventure of the Engineer's Thumb,1889,1889,Berkshire (near Reading)
1892,The Adventures of Sherlock Holmes,The Adventure of the Noble Bachelor,1887,1887,London
1892,The Adventures of Sherlock Holmes,The Adventure of the Beryl Coronet,1886,1886,London
1892,The Adventures of Sherlock Holmes,The Adventure of the Copper Beeches,1890,1890,"Winchester, Hampshire"
1894,The Memoirs of Sherlock Holmes,The Adventure of Silver Blaze,1888,1888,"Dartmoor, Devon"
1894,The Memoirs of Sherlock Holmes,The Adventure of the Cardboard Box,August 1888,1888,London
1894,The Memoirs of Sherlock Holmes,The Adventure of the Yellow Face,1888,1888,London
1894,The Memoirs of Sherlock Holmes,The Adventure of the Stockbroker's Clerk,June 1889,1889,"Birmingham, West Midlands"
1894,The Memoirs of Sherlock Holmes,The Adventure of the Gloria Scott,1875,1875,"Langmere, Norfolk"
1894,The Memoirs of Sherlock Holmes,The Adventure of the Musgrave Ritual,1879,1879,West Sussex
1894,The Memoirs of Sherlock Holmes,The Adventure of the Reigate Squire,1887,1887,"Reigate, Surrey"
1894,The Memoirs of Sherlock Holmes,The Adventure of the Crooked Man,1889,1889,"Aldershot, Hampshire"
1894,The Memoirs of Sherlock Holmes,The Adventure of the Resident Patient,October 1881,1881,London
1894,The Memoirs of Sherlock Holmes,The Adventure of the Greek Interpreter,1888,1888,London
1894,The Memoirs of Sherlock Holmes,The Adventure of the Naval Treaty,July 1889,1889,"Woking, Surrey"
1894,The Memoirs of Sherlock Holmes,The Final Problem,1891,1891,"Reichenbach Falls, near Meiringen in Switzerland"
1902,The Hound of the Baskervilles,The Hound of the Baskervilles,1889,1889,"Dartmoor, Devon"
1905,The Return of Sherlock Holmes,The Adventure of the Empty House,1894,1894,London
1905,The Return of Sherlock Holmes,The Adventure of the Norwood Builder,1894,1894,London
1905,The Return of Sherlock Holmes,The Adventure of the Dancing Men,1898,1898,Norfolk (near East Ruston)
1905,The Return of Sherlock Holmes,The Adventure of the Solitary Cyclist,1895,1895,"Farnham, Surrey"
1905,The Return of Sherlock Holmes,The Adventure of the Priory School,1901,1901,South Yorkshire (near Sheffield)
1905,The Return of Sherlock Holmes,The Adventure of Black Peter,1895,1895,"Forest Row, East Sussex"
1905,The Return of Sherlock Holmes,The Adventure of Charles Augustus Milverton,1899,1899,London
1905,The Return of Sherlock Holmes,The Adventure of the Six Napoleons,1900,1900,London
1905,The Return of Sherlock Holmes,The Adventure of the Three Students,1895,1895,Camford
1905,The Return of Sherlock Holmes,The Adventure of the Golden Pince-Nez,November 1894,1894,"Chatham, Kent"
1905,The Return of Sherlock Holmes,The Adventure of the Missing Three-Quarter,1896,1896,"Cambridge, Cambridgeshire"
1905,The Return of Sherlock Holmes,The Adventure of the Abbey Grange,1897,1897,London
1905,The Return of Sherlock Holmes,The Adventure of the Second Stain,July 1888,1888,London
1915,The Valley of Fear,The Valley of Fear,January 1888,1888,Sussex
1917,His Last Bow,The Adventure of Wisteria Lodge,1892 or 1894,1894,"Esher, Surrey"
1917,His Last Bow,The Adventure of the Red Circle,1902,1902,London
1917,His Last Bow,The Adventure of the Bruce-Partington Plans,November 1895,1895,London
1917,His Last Bow,The Adventure of the Dying Detective,November 1890,1890,London
1917,His Last Bow,The Disappearance of Lady Frances Carfax,1901,1901,London
1917,His Last Bow,The Adventure of the Devil's Foot,March 1897,1897,Cornwall
1917,His Last Bow,His Last Bow,August 1914,1914,London
1927,The Case-Book of Sherlock Holmes,The Adventure of the Mazarin Stone,1903,1903,London
1927,The Case-Book of Sherlock Holmes,The Problem of Thor Bridge,1900,1900,Hampshire (near Winchester)
1927,The Case-Book of Sherlock Holmes,The Adventure of the Creeping Man,September 1903,1903,Camford
1927,The Case-Book of Sherlock Holmes,The Adventure of the Sussex Vampire,November 1896,1896,West Sussex (near Horsham)
1927,The Case-Book of Sherlock Holmes,The Adventure of the Three Garridebs,June 1902,1902,London
1927,The Case-Book of Sherlock Holmes,The Adventure of the Illustrious Client,September 1902,1902,London
1927,The Case-Book of Sherlock Holmes,The Adventure of the Three Gables,1903,1903,London
1927,The Case-Book of Sherlock Holmes,The Adventure of the Blanched Soldier,January 1903,1903,"Bedford, Bedfordshire"
1927,The Case-Book of Sherlock Holmes,The Adventure of the Lion's Mane,July 1907,1907,East Sussex
1927,The Case-Book of Sherlock Holmes,The Adventure of the Retired Colourman,1898,1898,"Frinton-on-Sea, Essex"
1927,The Case-Book of Sherlock Holmes,The Adventure of the Veiled Lodger,1896,1896,London
1927,The Case-Book of Sherlock Holmes,The Adventure of Shoscombe Old Place,1902,1902,Berkshire
