"","Name","Height","Weight","Gender","Species"
"1","Luke Skywalker","172","77","male","Human"
"2","C-3PO","167","75","robot","Droid"
"3","R2-D2","96","32","robot","Droid"
"4","Darth Vader","202","136","male","Human"
"5","Leia Organa","150","49","female","Human"
"6","Owen Lars","178","120","male","Human"
"7","Beru Whitesun lars","165","75","female","Human"
"8","R5-D4","97","32","robot","Droid"
"9","Biggs Darklighter","183","84","male","Human"
"10","Obi-Wan Kenobi","182","77","male","Human"
"11","Anakin Skywalker","188","84","male","Human"
"12","Wilhuff Tarkin","180","150","male","Human"
"13","Chewbacca","228","112","male","Wookiee"
"14","Han Solo","180","80","male","Human"
"15","Greedo","173","74","male","Rodian"
"16","Jabba Desilijic Tiure","175","1358","hermaphrodite","Hutt"
"17","Wedge Antilles","170","77","male","Human"
"18","Jek Tono Porkins","180","110","male","Human"
"19","Yoda","66","17","male","Yoda's species"
"20","Palpatine","170","75","male","Human"
"21","Boba Fett","183","78.2","male","Human"
"22","IG-88","200","140","none","Droid"
"23","Bossk","190","113","male","Trandoshan"
"24","Lando Calrissian","177","79","male","Human"
"25","Lobot","175","79","male","Human"
"26","Ackbar","180","83","male","Mon Calamari"
"27","Mon Mothma","150","unknown","female","Human"
"28","Arvel Crynyd","unknown","unknown","male","Human"
"29","Wicket Systri Warrick","88","20","male","Ewok"
"30","Nien Nunb","160","68","male","Sullustan"
"31","Qui-Gon Jinn","193","89","male","Human"
"32","Nute Gunray","191","90","male","Neimodian"
"33","Finis Valorum","183","unknown","male","Human"
"34","Padmé Amidala","165","45","female","Human"
"35","Jar Jar Binks","196","66","male","Gungan"
"36","Roos Tarpals","224","82","male","Gungan"
"37","Rugor Nass","206","unknown","male","Gungan"
"38","Ric Olié","183","unknown","male","Human"
"39","Watto","137","unknown","male","Toydarian"
"40","Sebulba","112","40","male","Dug"
"41","Quarsh Panaka","183","unknown","male","Human"
"42","Shmi Skywalker","163","unknown","female","Human"
"43","Darth Maul","175","80","male","Zabrak"
"44","Bib Fortuna","180","unknown","male","Twi'lek"
"45","Ayla Secura","178","55","female","Twi'lek"
"46","Ratts Tyerell","79","15","male","Aleena"
"47","Dud Bolt","94","45","male","Vulptereen"
"48","Gasgano","122","unknown","male","Xexto"
"49","Ben Quadinaros","163","65","male","Toong"
"50","Mace Windu","188","84","male","Human"
"51","Ki-Adi-Mundi","198","82","male","Cerean"
"52","Kit Fisto","196","87","male","Nautolan"
"53","Eeth Koth","171","unknown","male","Zabrak"
"54","Adi Gallia","184","50","female","Tholothian"
"55","Saesee Tiin","188","unknown","male","Iktotchi"
"56","Yarael Poof","264","unknown","male","Quermian"
"57","Plo Koon","188","80","male","Kel Dor"
"58","Mas Amedda","196","unknown","male","Chagrian"
"59","Gregar Typho","185","85","male","Human"
"60","Cordé","157","unknown","female","Human"
"61","Cliegg Lars","183","unknown","male","Human"
"62","Poggle the Lesser","183","80","male","Geonosian"
"63","Luminara Unduli","170","56.2","female","Mirialan"
"64","Barriss Offee","166","50","female","Mirialan"
"65","Dormé","165","unknown","female","Human"
"66","Dooku","193","80","male","Human"
"67","Bail Prestor Organa","191","unknown","male","Human"
"68","Jango Fett","183","79","male","Human"
"69","Zam Wesell","168","55","female","Clawdite"
"70","Dexter Jettster","198","102","male","Besalisk"
"71","Lama Su","229","88","male","Kaminoan"
"72","Taun We","213","unknown","female","Kaminoan"
"73","Jocasta Nu","167","unknown","female","Human"
"74","R4-P17","109","unknown","female","Droid"
"75","Wat Tambor","193","48","male","Skakoan"
"76","San Hill","191","unknown","male","Muun"
"77","Shaak Ti","178","57","female","Togruta"
"78","Grievous","216","159","male","Kaleesh"
"79","Tarfful","234","136","male","Wookiee"
"80","Raymus Antilles","188","79","male","Human"
"81","Sly Moore","178","48","female","Umbaran"
"82","Tion Medon","206","80","male","Pau'an"
"83","Finn","178","73","male","Human"
"84","Rey","170","54","female","Human"
"85","Poe Dameron","180","80","male","Human"
"86","BB8","67","18","none","Droid"
"87","Captain Phasma","200","76","female","Human"
