Imię i nazwisko,Uczelnia,Rok,Opiekun 1
Ewa Bednarczuk,Polska Akademia Nauk,1986,Stefan Rolewicz
Przemysław Biecek,Politechnika Wrocławska,2007,Witold Klonecki
Konstancja Bobecka-Wesołowska,Politechnika Warszawska,2002,Jacek Wesołowski
Tomasz Brengos,Politechnika Warszawska,2010,Anna B. Romanowska
Krzysztof Bryś,Politechnika Warszawska,2003,Zbigniew Lonc
Anna Dembińska,Politechnika Warszawska,2002,Jacek Wesołowski
Wojciech Domitrz,Politechnika Warszawska,1994,Stanisław Janeczko
Piotr Gałązka,Politechnika Warszawska,2012,Janina Kotus
Maria Ganzha,Lomonosov Moscow State Univeristy,1994,Boris Vainberg
Przemysław Górka,Politechnika Warszawska,2007,Piotr Rybka
Jarosław Grytczuk,Uniwersytet im. Adama Mickiewicza w Poznaniu,1996,Andrzej Rotkiewicz
Ludwik Jaksztas,Politechnika Warszawska,2008,Feliks M. Przytycki
Jacek Jakubowski,Uniwersytet Warszawski,1983,Stanisław Kwapień
Stanisław Janeczko, , ,
Paweł Józiak,Polska Akademia Nauk,2017,Piotr Sołtan
Konstanty Junosza-Szaniawski,Politechnika Warszawska,2004,Adam Idzik
Bogusława Karpińska,Politechnika Warszawska,1999,Feliks M. Przytycki
Danuta Kołodziejczyk,Uniwersytet Warszawski,1993,Sławomir A. Nowak
Janina Kotus,Politechnika Warszawska,1983,Karol Krzyżewski
Adam Kubica,Politechnika Warszawska,2009,Piotr Rybka
Zbigniew Lonc,Politechnika Warszawska,1982,Tadeusz Traczyk
Marcin Małogrosz,Uniwersytet Warszawski,2015,Philippe Laurençot
Anna Mućka,Politechnika Warszawska,2008,Anna B. Romanowska
Paweł Naroski,Politechnika Warszawska,2011,Zbigniew Lonc
Gabriel Pietrzkowski,Polska Akademia Nauk,2010,Bronisław Jakubczyk
Agata Pilitowska,Politechnika Warszawska,1996,Anna B. Romanowska
Barbara Roszkowska-Lech,Politechnika Warszawska,1987,Anna B. Romanowska
Paweł Rzążewski,Uniwersytet Warszawski,2015,Zbigniew Lonc
Jan Samsonowicz,Uniwersytet Warszawski,1988,Andrzej S. Białynicki-Birula
Jarosław Sobczyk,Politechnika Warszawska,1995,Jerzy Zabczyk
Jan Spaliński,University of Notre Dame,1991,William Gerard Dwyer
Michał Stronkowski,Politechnika Warszawska,2007,Anna B. Romanowska
Grzegorz Świątek,Uniwersytet Warszawski,1987,Michał Misiurewicz
Żaneta Trębska,Politechnika Warszawska,2012,Wojciech Domitrz
Michał Tuczyński,Politechnika Warszawska,2012,Zbigniew Lonc
Jacek Wesołowski,Politechnika Warszawska,1989,Agnieszka Plucińska
Paweł Wilczyński,Uniwersytet Jagielloński,2006,Roman Srzednicki
Anna Zalewska,Uniwersytet Warszawski,1996,Andrzej Szałas
Anna Zamojska-Dzienio,Politechnika Warszawska,2004,Anna B. Romanowska
Michał Ziembowski,University of Edinburgh,2010,Agata Smoktunowicz
Agnieszka Zimnicka,Politechnika Warszawska,2010,Janina Kotus
Stefan Rolewicz,Uniwersytet Warszawski,1958,Stanisław Mazur
Witold Klonecki,Uniwersytet Wrocławski,1963,Julian Perkal
Julian Perkal,Uniwersytet Wrocławski,1950,Hugo D. Steinhaus
Anna B. Romanowska,Politechnika Warszawska,1973,Tadeusz Traczyk
Tadeusz Traczyk,Polska Akademia Nauk,1959,Roman Sikorski
Zbigniew Lonc,Politechnika Warszawska,1982,Tadeusz Traczyk
Karol Krzyżewski,Politechnika Warszawska, ,Roman Sikorski
Andrzej Rotkiewicz,Polska Akademia Nauk,1963,Wacław Sierpiński
Feliks M. Przytycki,Polska Akademia Nauk,1977,Karol Krzyżewski
Stanisław Kwapień,Polska Akademia Nauk,1968,Zbigniew Ciesielski
Zbigniew Ciesielski,Uniwersytet im. Adama Mickiewicza w Poznaniu,1960,Władysław R. Orlicz
Piotr Sołtan,Polska Akademia Nauk,2003,Stanisław L. Woronowicz
Stanisław L. Woronowicz,Uniwersytet Warszawski,1968,Krzysztof Maurin
Krzysztof Maurin,Uniwersytet Warszawski,1950,Stanisław Mazur
Paweł Kasprzak,Uniwersytet Warszawski,2006,Stanisław L. Woronowicz
Sławomir A. Nowak,Uniwersytet Warszawski,1973,Karol Borsuk
Jerzy Zabczyk,Uniwersytet Gdański,1969,Zbigniew Ciesielski
William Gerard Dwyer,Massachusetts Institute of Technology,1973,Daniel M. Kan
Daniel M. Kan,Hebrew University,1955,Samuel Eilenberg
Agnieszka Plucińska,Uniwersytet Wrocławski,1961,Hugo D. Steinhaus
Andrzej Szałas,Uniwersytet Warszawski,1984,Andrzej Salwicki
Andrzej Salwicki,Uniwersytet Warszawski,1969,Helena Rasiowa
Helena Rasiowa,Uniwersytet Warszawski,1950,Andrzej Mostowski
Stanisław Mazur,University of Lwów ,1932,Stefan Banach
Julian Perkal,Uniwersytet Wrocławski,1950,Hugo D. Steinhaus
Hugo D. Steinhaus,Georg-August-Universität Göttingen ,1911,David Hilbert
Tadeusz Traczyk, ,,Roman Sikorski
Roman Sikorski,Uniwersytet Warszawski,1949,Andrzej Mostowski
Andrzej Mostowski,Uniwersytet Warszawski,1938,Kazimierz Kuratowski
Roman Sikorski,Uniwersytet Warszawski,1949,Andrzej Mostowski
Wacław Sierpiński,Uniwersytet Jagielloński,1906,Stanislaw Zaremba
Karol Krzyżewski,Politechnika Warszawska, ,Roman Sikorski
Zbigniew Ciesielski,Uniwersytet im. Adama Mickiewicza w Poznaniu,1960,Władysław Roman Orlicz
Władysław R. Orlicz,University of Lwów,1928,Eustachy I. Żyliński
Stanisław L. Woronowicz,Uniwersytet Warszawski,1968,Krzysztof Maurin
Krzysztof Maurin,Uniwersytet Warszawski,1950,Stanislaw Mazur
Karol Borsuk,Uniwersytet Warszawski,1930,Stefan Mazurkiewicz
Daniel M. Kan,Hebrew University,1955,Samuel Eilenberg
Samuel Eilenberg,Uniwersytet Warszawski ,1936,Kazimierz Kuratowski
Andrzej Salwicki,Uniwersytet Warszawski,1969,Helena Rasiowa
Stefan Banach,University of Lwów,1920,Hugo D. Steinhaus
David Hilbert,Universität Königsberg,1885,C. L. Ferdinand (Carl Louis) Lindemann
Roman Sikorski,Uniwersytet Warszawski ,1949,Andrzej Mostowski
Stanislaw Zaremba,Université Paris IV-Sorbonne,1889,Gaston Darboux
Władysław Roman Orlicz,University of Lwów ,1928,Eustachy I. Żyliński
Eustachy I. Żyliński,Kiev State University,1914,Dmitry Aleksandrovich Grave
Krzysztof Maurin,Uniwersytet Warszawski,1950,Stanislaw Mazur
Stefan Mazurkiewicz,University of Lwów,1913,Wacław Sierpiński
Samuel Eilenberg,Uniwersytet Warszawski ,1936,Kazimierz Kuratowski
Helena Rasiowa,Uniwersytet Warszawski ,1950, Andrzej Mostowski
C. L. Ferdinand (Carl Louis) Lindemann,Friedrich-Alexander-Universität Erlangen-Nürnberg,1873,C. Felix (Christian) Klein
Andrzej Mostowski,Uniwersytet Warszawski ,1938,Kazimierz Kuratowski
Gaston Darboux,École Normale Supérieure Paris,1866,Michel Chasles
Eustachy I. Żyliński,Kiev State University,1914,Dmitry Aleksandrovich Grave
Dmitry Aleksandrovich Grave,St. Petersburg State University,1896,Alexander Nikolaevich Korkin
Stanisław Mazur,University of Lwów,1932,Stefan Banach
Kazimierz Kuratowski,Uniwersytet Warszawski ,1921,Zygmunt Janiszewski
 Andrzej Mostowski,Uniwersytet Warszawski,1938,Alfred Tarski
C. Felix (Christian) Klein,Rheinische Friedrich-Wilhelms-Universität Bonn,1868,Rudolf Otto Sigismund Lipschitz
Michel Chasles,École Polytechnique ,1814,Siméon Denis Poisson
Dmitry Aleksandrovich Grave,St. Petersburg State University ,1896,Alexander Nikolaevich Korkin
Zygmunt Janiszewski, ,1911,Henri Léon Lebesgue
Alfred Tarski,Uniwersytet Warszawski,1926,Stanislaw Lesniewski
Rudolf Otto Sigismund Lipschitz,Universität Berlin,1853,Gustav Peter Lejeune Dirichlet
Siméon Denis Poisson,École Polytechnique,1800,Joseph Louis Lagrange
Alexander Nikolaevich Korkin,St. Petersburg State University,1860,Pafnuty Lvovich Chebyshev
Henri Léon Lebesgue,Université Henri Poincaré Nancy 1,1902,Émile Borel
Stanislaw Lesniewski,University of Lwów,1920,Kazimierz Twardowski
Gustav Peter Lejeune Dirichlet,Rheinische Friedrich-Wilhelms-Universität Bonn,1827,Siméon Denis Poisson
Joseph Louis Lagrange,Università di Torino,1754,Leonhard Euler
Pafnuty Lvovich Chebyshev,St. Petersburg State University,1849,Nikolai Dmitrievich Brashman
Émile Borel,École Normale Supérieure Paris,1893,Gaston Darboux
Kazimierz Twardowski,Universität Wien,1891,Robert Zimmermann
Leonhard Euler,Universität Basel ,1726,Johann Bernoulli
Nikolai Dmitrievich Brashman,Kazan State University and Lomonosov Moscow State University,1824,Joseph Johann von Littrow
Robert Zimmermann,Universität Wien,1846,Bernard(us) Placidus Johann Nepomuk Bolzano
Johann Bernoulli,Universität Basel ,1690,Jacob Bernoulli
Joseph Johann von Littrow,Universität Wien,1838,BRAK
Bernard(us) Placidus Johann Nepomuk Bolzano,University of Prague,1805,Franz Josef Ritter von Gerstner
Jacob Bernoulli,Universität Basel ,1676,Peter Werenfels
Franz Josef Ritter von Gerstner,Karl-Ferdinand-Universität Prag ,1776,Joseph Stepling
Peter Werenfels,Universität Basel,1649,Theodor Zwinger Jr.
Joseph Stepling,Universitas Carolina Prague,1743,Ignatz Mühlwenzel
Theodor Zwinger Jr.,Universität Basel ,1630, Sebastian Beck
Ignatz Mühlwenzel, , ,BRAK
 Sebastian Beck,Universität Basel ,1610, Johann Jacob Grynaeus
 Johann Jacob Grynaeus,Universität Basel,1559,Simon Sulzer
Simon Sulzer,Collège Saint-Guillaume à Strasbourg,1531,Wolfgang Fabricius Capito
Wolfgang Fabricius Capito,Albert-Ludwigs-Universität Freiburg im Breisgau,1515,Desiderius Erasmus
Desiderius Erasmus,Collège de Montaigu,1497,Alexander Hegius
Alexander Hegius, ,1474,Rudolf Agricola
Rudolf Agricola,Università degli Studi di Ferrara,1478,Theodoros Gazes
Theodoros Gazes,Università di Mantova and Constantinople,1433,Vittorino da Feltre
Vittorino da Feltre,Università degli Studi di Padova,1416,Guarino da Verona
Guarino da Verona, ,1408,Manuel Chrysoloras
Manuel Chrysoloras, ,,Demetrios Kydones
Nilos Kabasilas, ,1363,Gregory Palamas
Gregory Palamas, ,,Theodore Metochites
Theodore Metochites, ,1315,Manuel Bryennios
Manuel Bryennios, ,,Gregory Chioniadis
Gregory Chioniadis,Ilkhans Court at Tabriz,1296,Shams ad-Din Al-Bukhari
Shams ad-Din Al-Bukhari,Maragheh Observatory , ,Nasir al-Din al-Tusi
Nasir al-Din al-Tusi, ,,Kamal al Din Ibn Yunus
Kamal al Din Ibn Yunus, ,,Sharaf al-Dīn al-Ṭūsī
Sharaf al-Dīn al-Ṭūsī, ,,BRAK
