date,msg_cnt,kroki
01-Jan-18,244,0
02-Jan-18,546,0
03-Jan-18,432,0
04-Jan-18,314,0
05-Jan-18,569,0
06-Jan-18,239,0
07-Jan-18,79,0
08-Jan-18,315,0
09-Jan-18,575,0
10-Jan-18,90,0
11-Jan-18,501,0
12-Jan-18,502,0
13-Jan-18,16,0
14-Jan-18,132,0
15-Jan-18,739,0
16-Jan-18,452,0
17-Jan-18,459,0
18-Jan-18,236,0
19-Jan-18,410,0
20-Jan-18,423,0
01-Feb-18,463,0
02-Feb-18,343,0
03-Feb-18,243,0
04-Feb-18,47,0
05-Feb-18,635,0
06-Feb-18,502,0
07-Feb-18,249,0
08-Feb-18,4,0
09-Feb-18,28,0
10-Feb-18,62,0
11-Feb-18,229,0
12-Feb-18,34,0
13-Feb-18,371,0
14-Feb-18,253,0
15-Feb-18,249,0
16-Feb-18,247,0
17-Feb-18,244,0
18-Feb-18,289,0
19-Feb-18,335,0
20-Feb-18,455,0
01-Mar-18,262,0
02-Mar-18,285,0
03-Mar-18,28,0
04-Mar-18,68,0
05-Mar-18,74,0
06-Mar-18,318,0
07-Mar-18,318,0
08-Mar-18,578,0
09-Mar-18,235,0
10-Mar-18,201,0
11-Mar-18,43,0
12-Mar-18,505,0
13-Mar-18,315,0
14-Mar-18,516,0
15-Mar-18,659,0
16-Mar-18,683,0
17-Mar-18,427,0
18-Mar-18,84,0
19-Mar-18,218,0
20-Mar-18,382,0
01-Apr-18,169,0
02-Apr-18,413,0
03-Apr-18,508,0
04-Apr-18,366,0
05-Apr-18,552,0
06-Apr-18,723,0
07-Apr-18,370,0
08-Apr-18,81,0
09-Apr-18,14,0
10-Apr-18,193,0
11-Apr-18,338,0
12-Apr-18,213,0
13-Apr-18,593,0
14-Apr-18,268,0
15-Apr-18,228,0
16-Apr-18,209,0
17-Apr-18,177,0
18-Apr-18,672,0
19-Apr-18,309,0
20-Apr-18,718,0
01-May-18,3,0
02-May-18,30,0
03-May-18,79,0
04-May-18,22,0
05-May-18,44,0
06-May-18,76,0
07-May-18,493,0
08-May-18,354,0
09-May-18,242,0
10-May-18,144,0
11-May-18,225,0
12-May-18,155,0
13-May-18,361,0
14-May-18,171,0
15-May-18,231,0
16-May-18,147,0
17-May-18,511,0
18-May-18,339,0
19-May-18,382,0
20-May-18,185,0
01-Jun-18,469,0
02-Jun-18,212,0
03-Jun-18,254,0
04-Jun-18,178,0
05-Jun-18,155,0
06-Jun-18,440,0
07-Jun-18,469,0
08-Jun-18,338,0
09-Jun-18,175,0
10-Jun-18,77,0
11-Jun-18,351,0
12-Jun-18,139,0
13-Jun-18,351,0
14-Jun-18,565,0
15-Jun-18,134,0
16-Jun-18,215,0
17-Jun-18,222,0
18-Jun-18,256,0
19-Jun-18,309,0
20-Jun-18,133,0
01-Jul-18,97,0
02-Jul-18,168,0
03-Jul-18,51,0
04-Jul-18,69,0
05-Jul-18,80,0
06-Jul-18,41,0
07-Jul-18,85,0
08-Jul-18,15,0
09-Jul-18,45,0
10-Jul-18,5,0
11-Jul-18,70,0
12-Jul-18,250,0
13-Jul-18,218,0
14-Jul-18,100,0
15-Jul-18,65,0
16-Jul-18,152,0
17-Jul-18,54,0
18-Jul-18,5,0
19-Jul-18,24,0
20-Jul-18,191,0
01-Aug-18,154,0
02-Aug-18,113,0
03-Aug-18,338,0
04-Aug-18,88,0
05-Aug-18,65,0
06-Aug-18,49,0
07-Aug-18,54,0
08-Aug-18,66,0
09-Aug-18,92,0
10-Aug-18,213,0
11-Aug-18,106,0
12-Aug-18,103,0
13-Aug-18,107,0
14-Aug-18,128,0
15-Aug-18,55,0
16-Aug-18,67,0
17-Aug-18,144,0
18-Aug-18,312,0
19-Aug-18,100,0
20-Aug-18,332,0
01-Sep-18,351,5183
02-Sep-18,72,10478
03-Sep-18,727,15928
04-Sep-18,302,12245
05-Sep-18,837,8177
06-Sep-18,89,22723
07-Sep-18,319,19699
08-Sep-18,121,14255
09-Sep-18,82,20390
10-Sep-18,108,10262
11-Sep-18,76,8932
12-Sep-18,45,20912
13-Sep-18,52,7218
14-Sep-18,271,0
15-Sep-18,90,0
16-Sep-18,100,0
17-Sep-18,214,0
18-Sep-18,65,0
19-Sep-18,47,0
20-Sep-18,239,0
01-Oct-18,271,0
02-Oct-18,728,0
03-Oct-18,507,347
04-Oct-18,271,5310
05-Oct-18,366,3420
06-Oct-18,422,11461
07-Oct-18,417,7118
08-Oct-18,950,8155
09-Oct-18,678,15235
10-Oct-18,677,7420
11-Oct-18,426,11755
12-Oct-18,417,6830
13-Oct-18,398,12054
