date,msg_cnt,kroki
21-Aug-18,434,12322
22-Aug-18,450,11061
23-Aug-18,234,9947
24-Aug-18,331,10698
25-Aug-18,578,7970
26-Aug-18,293,14690
27-Aug-18,793,20425
28-Aug-18,254,21098
29-Aug-18,327,14579
30-Aug-18,539,8247
31-Aug-18,359,10897
01-Sep-18,351,5183
02-Sep-18,72,10478
03-Sep-18,727,15928
04-Sep-18,302,12245
05-Sep-18,837,8177
06-Sep-18,89,22723
07-Sep-18,319,19699
08-Sep-18,121,14255
09-Sep-18,82,20390
10-Sep-18,108,10262
11-Sep-18,76,8932
12-Sep-18,45,20912
13-Sep-18,52,7218
14-Sep-18,271,0
15-Sep-18,90,0
16-Sep-18,100,0
17-Sep-18,214,0
18-Sep-18,65,0
19-Sep-18,47,0
20-Sep-18,239,0
21-Sep-18,19,0
22-Sep-18,80,0
23-Sep-18,96,0
24-Sep-18,35,3149
25-Sep-18,127,8552
26-Sep-18,371,531
27-Sep-18,491,1913
28-Sep-18,440,6539
29-Sep-18,381,2940
30-Sep-18,191,6549
01-Oct-18,271,0
02-Oct-18,728,0
03-Oct-18,507,347
04-Oct-18,271,5310
05-Oct-18,366,3420
06-Oct-18,422,11461
07-Oct-18,417,7118
08-Oct-18,950,8155
09-Oct-18,678,15235
10-Oct-18,677,7420
11-Oct-18,426,11755
12-Oct-18,417,6830
13-Oct-18,398,12054
14-Oct-18,343,9474
15-Oct-18,523,701
16-Oct-18,381,7205
17-Oct-18,456,6457
18-Oct-18,452,1072
19-Oct-18,619,7955
20-Oct-18,390,9856
21-Oct-18,141,1759
22-Oct-18,457,3566
23-Oct-18,600,7381
24-Oct-18,646,6739
25-Oct-18,383,7849
26-Oct-18,485,0
27-Oct-18,476,0
28-Oct-18,858,3208
29-Oct-18,285,7118
30-Oct-18,324,12641
31-Oct-18,360,5996
01-Nov-18,679,0
02-Nov-18,173,1210
03-Nov-18,271,4311
04-Nov-18,129,4123
05-Nov-18,415,0
06-Nov-18,323,3126
07-Nov-18,506,8249
08-Nov-18,281,6541
09-Nov-18,144,2755
10-Nov-18,190,2685
11-Nov-18,115,12504
12-Nov-18,255,6000
13-Nov-18,702,7585
14-Nov-18,1215,5650
15-Nov-18,283,0
16-Nov-18,161,4766
17-Nov-18,74,6922
18-Nov-18,547,2174
19-Nov-18,742,10686
20-Nov-18,789,4239
21-Nov-18,300,8800
22-Nov-18,449,6555
23-Nov-18,596,12612
24-Nov-18,281,8965
25-Nov-18,539,12831
26-Nov-18,673,2953
27-Nov-18,854,10061
28-Nov-18,484,9669
29-Nov-18,672,6326
30-Nov-18,438,12458
01-Dec-18,441,11034
02-Dec-18,901,5036
03-Dec-18,491,7665
04-Dec-18,299,6371
05-Dec-18,517,7947
06-Dec-18,224,8370
07-Dec-18,394,30823
08-Dec-18,192,22634
09-Dec-18,122,5487
10-Dec-18,341,8828
11-Dec-18,432,11067
12-Dec-18,720,9044
13-Dec-18,413,10486
14-Dec-18,499,2418
15-Dec-18,555,14408
16-Dec-18,423,23170
17-Dec-18,444,5205
18-Dec-18,548,7119
19-Dec-18,680,10648
20-Dec-18,269,10836
21-Dec-18,562,6751
22-Dec-18,496,12224
23-Dec-18,638,11354
24-Dec-18,404,7418
25-Dec-18,281,4164
26-Dec-18,332,4244
27-Dec-18,736,5646
28-Dec-18,87,16229
29-Dec-18,237,23481
30-Dec-18,186,23624
31-Dec-18,178,20284
01-Jan-19,388,11934
02-Jan-19,844,4602
03-Jan-19,1045,10299
04-Jan-19,1490,13399
05-Jan-19,1080,7295
06-Jan-19,816,10899
07-Jan-19,1658,8124
08-Jan-19,1909,5780
09-Jan-19,2976,5721
10-Jan-19,1663,7975
11-Jan-19,254,22350
12-Jan-19,871,13211
13-Jan-19,1976,14028
14-Jan-19,611,12386
15-Jan-19,967,11536
