kiedy;co;ile;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sniadanie;Herbata;28;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cos slodkiego;Herbata;10;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cos slodkiego;Kawa;15;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cos slodkiego;Woda;2;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bez posilku;Herbata;5;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bez posilku;Kawa;6;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bez posilku;Woda;8;;;;;;;;;;;;;;;;;;;;;;;;;;;
Obiad;Herbata;22;;;;;;;;;;;;;;;;;;;;;;;;;;;
Obiad;Wino;5;;;;;;;;;;;;;;;;;;;;;;;;;;;
Obiad;Woda;3;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wieczorem;Herbata;14;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wieczorem;Wino;3;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wieczorem;Alkohol mocny;5;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wieczorem;Woda;2;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lunch;Herbata;11;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lunch;Alkohol mocny;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lunch;Woda;4;;;;;;;;;;;;;;;;;;;;;;;;;;;
