KOBIETY,1115,47,76,200,280,512
Wymeldowanie (decyzja administracyjna),211,15,15,32,46,103
Wypędzenie z mieszkania przez rodzine/współlokatorów,244,11,18,55,52,108
Pozostawienie mieszkania rodzinie z własnej inicjatywy,152,12,19,27,35,59
Ucieczka przed przemocą w rodzinie,103,3,6,25,29,40
Utrata noclegów w miejscu byłej pracy,8,-,1,-,1,6
Konieczność opuszczenia domu dziecka na skutek pełnoletności,8,1,2,2,1,2
Eksmisja,147,2,5,17,40,83
Zadłużenie,89,-,4,11,29,45
Bezrobocie,138,3,6,26,42,61
Opuszczenie zakładu karnego,15,-,-,5,5,5
