MĘŻCZYŹNI,6547,49,220,781,1650,3847
Wymeldowanie (decyzja administracyjna),1259,19,30,141,314,755
Wypędzenie z mieszkania przez rodzine/współlokatorów,1644,11,67,230,404,932
Pozostawienie mieszkania rodzinie z własnej inicjatywy,973,8,29,95,235,606
Ucieczka przed przemocą w rodzinie,103,4,9,16,23,51
Utrata noclegów w miejscu byłej pracy,74,-,2,8,14,50
Konieczność opuszczenia domu dziecka na skutek pełnoletności,39,-,4,9,12,14
Eksmisja,929,3,25,80,234,587
Zadłużenie,423,1,16,50,102,254
Bezrobocie,804,2,24,95,221,462
Opuszczenie zakładu karnego,299,1,14,57,91,136
