OGÓŁEM,"7,662",96,296,981,"1,930","4,359"
Wymeldowanie (decyzja administracyjna),"1,470",34,45,173,360,858
Wypędzenie z mieszkania przez rodzine/współlokatorów,"1,888",22,85,285,456,"1,040"
Pozostawienie mieszkania rodzinie z własnej inicjatywy,"1,125",20,48,122,270,665
Ucieczka przed przemocą w rodzinie,206,7,15,41,52,91
Utrata noclegów w miejscu byłej pracy,82,-,3,-,15,56
Konieczność opuszczenia domu dziecka na skutek pełnoletności,47,-,6,11,13,16
Eksmisja,"1,076",5,30,97,274,670
Zadłużenie,512,-,20,61,131,299
Bezrobocie,942,5,30,121,263,523
Opuszczenie zakładu karnego,314,-,-,62,96,141
