Kraje,Procent,Wyksztalcenie
Polska,17,Wyższe
Polska,31.6,Średnie
Polska,51.4,Pozostałe
Niemcy,8.2,Wyższe
Niemcy,26.3,Średnie
Niemcy,65.4,Pozostałe
Litwa,18.3,Wyższe
Litwa,34.6,Średnie
Litwa,47.1,Pozostałe
Rosja,15.9,Wyższe
Rosja,27.6,Średnie
Rosja,56.5,Pozostałe
Ukraina,15.9,Wyższe
Ukraina,31.2,Średnie
Ukraina,53,Pozostałe
Bialorus,19.9,Wyższe
Bialorus,33.5,Średnie
Bialorus,46.7,Pozostałe
Francja,10.9,Wyższe
Francja,28.5,Średnie
Francja,60.7,Pozostałe
USA,18,Wyższe
USA,16.3,Średnie
USA,65.7,Pozostałe
