PD1;PD2;PD3;PD4;PD5;PD6;PD7;PD8;PD9;PD10;P1_estetyka;P1_adnotacje;P1_dane;P1_plakat;Prezentacje;P2_strona;P2_wykres;P2_interakcja;P2_pomyslowosc
5;5;5;5;7;5;5;5;5;5;4;5;5;5;10;5;5;5;5
5;5;5;5;7;5;5;5;4;4;5;5;5;5;8;5;5;5;5
5;5;5;5;7;5;5;5;5;5;4;5;5;5;7;5;4;5;5
5;5;5;3;5;5;4;5;5;5;5;5;5;5;9;5;5;5;5
5;5;5;4;5;4;5;5;5;4;5;4;5;4;10;5;5;5;5
5;5;5;5;4;5;5;5;5;5;5;5;5;5;10;5;5;1;5
5;5;5;6;7;5;5;5;5;;4;4;5;4;10;5;5;5;5
5;5;5;6;7;5;;5;5;;5;5;5;5;10;5;5;5;5
5;5;5;6;7;5;;5;5;;5;5;5;5;10;5;5;5;5
5;4;5;5;7;5;5;5;5;;5;5;5;5;10;5;5;1;5
5;5;4;5;5;5;4;5;5;5;5;5;5;5;6;4;5;4;5
3;5;5;6;7;5;5;5;5;4;5;4;5;4;9;5;3;2;5
5;5;5;3;7;5;5;5;5;;4;5;5;5;10;5;5;3;5
5;5;5;4;7;5;3;5;5;;5;5;5;5;8;5;5;5;5
5;5;5;5;7;5;5;5;4;;5;5;5;5;10;4;4;3;5
;5;5;5;7;5;5;5;5;5;4;5;5;5;7;5;5;3;5
5;5;5;4;5;5;5;5;5;5;4;5;4;4;9;5;3;2;5
4;5;5;5;5;5;5;5;5;4;4;5;4;4;9;3;4;3;5
5;5;5;4;5;5;5;5;5;5;4;4;5;4;6;4;5;3;5
5;5;5;6;5;5;5;5;5;;5;4;5;4;10;4;3;3;4
5;5;5;;5;5;5;5;5;5;5;4;5;4;9;5;4;2;5
5;5;5;3;7;4;;5;5;5;5;5;5;5;8;4;4;3;5
4;5;5;5;5;5;4;4;3;;5;5;5;5;10;4;4;3;5
5;5;5;5;5;5;4;5;;;5;5;5;5;8;4;5;3;5
5;5;5;6;5;5;5;5;;5;5;4;5;4;;5;4;5;5
5;5;5;4;4;5;5;;5;2;2;4;5;2;10;5;4;5;5
5;5;3;6;;5;4;5;5;;4;4;5;4;8;4;5;4;5
5;5;5;5;5;3;;5;5;;5;5;5;5;10;4;3;2;3
3;5;5;3;4;5;4;5;4;;3;5;5;3;10;3;3;5;5
5;5;5;5;5;5;;;;;5;5;5;5;10;4;5;4;5
5;5;5;4;5;5;;5;;;5;5;5;5;8;5;5;1;5
5;5;5;4;7;5;4;5;;;5;5;5;5;;4;5;3;5
5;5;5;4;;5;;5;5;5;2;4;5;2;5;5;5;3;5
5;5;5;4;7;5;4;5;;4;5;5;5;5;8;;;;
5;5;5;6;5;4;5;;;;4;5;5;5;6;3;3;1;5
5;5;;5;5;5;;4;5;;5;5;5;5;;4;5;3;5
;5;5;4;7;5;;5;;;3;3;2;3;10;5;5;3;5
5;5;5;3;7;5;5;5;5;;3;3;2;3;;3;3;3;2
5;5;5;5;5;4;4;;;;2;4;5;2;7;4;3;2;5
5;5;5;;;;;5;5;5;3;3;2;3;10;3;4;3;5
5;5;5;6;7;5;;5;;;5;5;5;5;6;;;;
4;5;5;4;7;5;3;4;;;5;4;5;4;9;;;;
5;5;5;5;;5;5;4;;;5;5;5;5;9;;;;
;5;5;6;;5;5;5;5;;4;4;5;4;5;;;;
;5;;2;;5;5;5;;;4;4;5;2;6;1;4;3;3
5;5;5;5;7;5;;;;;3;3;2;3;10;;;;
5;5;;3;5;5;;5;4;2;5;4;5;4;;;;;
