Dzielnica;Problem;Procent;Kategoria;;;
Śródmieście;akty wandalizmu;58;wandalizm;;;
Śródmieście;niebezpiecznie jeżdżący kierowcy;46;bezpieczeństwo;;;
Śródmieście;za mało koszy na śmieci;45;śmiecie;;;
Mokotów;niski poziom bezpieczeństwa;45;bezpieczeństwo;;;
Mokotów;za mało ławek i koszy na śmieci;44;ławki;;;
Mokotów;problemy z wywozem śmieci;43;śmiecie;;;
Ochota;za mało koszy na śmieci;46;śmiecie;;;
Ochota;zły stan chodników;43;infrastruktura;;;
Ochota;regularne problemy komunikacyjne;40;komunikacja;;;
Praga Północ;zły stan i wygląd budynków;69;stan budynków;;;
Praga Północ;za mało ławek i miejsc do siedzenia;60;ławki;;;
Praga Północ;akty wandalizmu;57;wandalizm;;;
Praga Południe;za mało ławek;53;ławki;;;
Praga Południe;za mało miejsc do spędzania wolnego czasu;51;infrastruktura;;;
Praga Południe;pijane osoby i zakłócanie ciszy nocnej;45;bezpieczeństwo;;;
Rembertów;regularne utrudnienia komunikacyjne;91;komunikacja;;;
Rembertów;za mało infrastruktury rowerowej;64;rowery;;;
Rembertów;niewystarczająco oświetlone ulice i chodniki;63;oświetlenie;;;
Targówek;akty wandalizmu;52;wandalizm;;;
Targówek;niewystarczająco oświetlone ulice i chodniki;43;oświetlenie;;;
Targówek;niski poziom bezpieczeństwa;41;bezpieczeństwo;;;
Ursus;regularne utrudnienia komunikacyjne;61;komunikacja;;;
Ursus;słaba komunikacja z resztą miasta;50;infrastruktura;;;
Ursus;niewystarczająco oświetlone ulice i chodniki;43;oświetlenie;;;
Ursynów;niski poziom bezpieczeństwa;46;bezpieczeństwo;;;
Ursynów;niewystarczająco oświetlone ulice i chodniki;41;oświetlenie;;;
Ursynów;zły stan zieleni;34;powietrze;;;
Wawer;niewystarczająco oświetlone ulice i chodniki;62;oświetlenie;;;
Wawer;za mało infrastruktury rowerowej;56;rowery;;;
Wawer;spalanie śmieci na powietrzu;54;śmiecie;;;
Wesoła;słaba komunikacja z resztą miasta;50;infrastruktura;;;
Wesoła;niewystarczająco oświetlone ulice i chodniki;38;oświetlenie;;;
Wesoła;za mało infrastruktury rowerowej;31;rowery;;;
Włochy;regularne utrudnienia komunikacyjne;57;komunikacja;;;
Włochy;zły stan ulic i chodników;36;infrastruktura;;;
Włochy;zły stan i wygląd budynków;35;stan budynków;;;
Wola;niewystarczająco oświetlone ulice i chodniki;47;oświetlenie;;;
Wola;niski poziom bezpieczeństwa;41;bezpieczeństwo;;;
Wola;za mało koszy na śmieci;38;śmiecie;;;
Żoliborz;niewystarczająco oświetlone ulice i chodniki;42;oświetlenie;;;
Żoliborz;niebezpiecznie jeżdżący kierowcy;41;bezpieczeństwo;;;
Żoliborz;za mało ławek;34;ławki;;;
Bemowo;regularne utrudnienia komunikacyjne;46;komunikacja;;;
Bemowo;zakorkowane ulice;36;korki;;;
Bemowo;za mało zieleni;35;powietrze;;;
Białołęka;za mało ławek;52;ławki;;;
Białołęka;zakorkowane ulice;42;korki;;;
Białołęka;zły stan dróg;41;infrastruktura;;;
Bielany;niewystarczająco oświetlone ulice i chodniki;46;oświetlenie;;;
Bielany;za mało koszy na śmieci;39;śmiecie;;;
Bielany;akty wandalizmu;32;wandalizm;;;
Wilanów;słaba komunikacja z resztą miasta;59;infrastruktura;;;
Wilanów;za mało przystanków autobusowych;40;komunikacja;;;
Wilanów;niewystarczająco oświetlone ulice i chodniki;33;oświetlenie;;;
